now,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8
1788346558.1822283,22.75,23.0,23.125,23.1875,23.0625,23.0,23.1875,23.3125
1788346559.183342,22.75,23.0,23.125,23.1875,23.125,23.0,23.1875,23.25
1788346560.1845918,22.8125,23.0,23.125,23.1875,23.0625,23.0,23.25,23.3125
1788346561.1849656,22.75,23.0,23.125,23.1875,23.125,23.0,23.1875,23.3125
1788346562.1850312,22.75,23.0625,23.125,23.1875,23.125,23.0,23.25,23.3125
1788346563.1866395,22.8125,23.0,23.125,23.1875,23.125,23.0,23.25,23.3125
1788346564.1907594,22.8125,22.9375,23.125,23.1875,23.125,23.0,23.25,23.375
1788346565.1920524,22.75,23.0,23.1875,23.25,23.125,23.0,23.25,23.3125
1788346566.1925704,22.8125,23.0,23.125,23.25,23.125,23.0,23.25,23.3125
1788346567.193076,22.8125,23.0,23.125,23.25,23.125,23.0625,23.25,23.3125
1788346568.1933413,22.8125,23.0,23.125,23.25,23.125,23.0,23.3125,23.375
1788346569.1938925,22.8125,23.0625,23.125,23.3125,23.125,23.0,23.25,23.375
1788346570.19702,22.8125,23.0625,23.125,23.25,23.125,23.0625,23.25,23.375
1788346571.20106,22.8125,23.0625,23.125,23.25,23.125,23.0625,23.25,23.375
1788346572.2044516,22.875,23.125,23.125,23.25,23.125,23.0625,23.25,23.375
1788346573.2044604,22.875,23.125,23.1875,23.3125,23.125,23.0625,23.3125,23.375
1788346574.208567,22.8125,23.125,23.1875,23.3125,23.125,23.0625,23.25,23.375
1788346575.208938,22.875,23.125,23.1875,23.3125,23.125,23.0625,23.25,23.375
1788346576.211736,22.875,23.125,23.1875,23.3125,23.1875,23.125,23.3125,23.4375
1788346577.2159884,22.8125,23.125,23.1875,23.3125,23.125,23.0625,23.25,23.375
1788346578.2173166,22.875,23.1875,23.1875,23.3125,23.1875,23.125,23.3125,23.375
1788346579.2202475,22.8125,23.1875,23.1875,23.375,23.1875,23.125,23.3125,23.375
1788346580.2205057,22.8125,23.1875,23.1875,23.3125,23.1875,23.0625,23.3125,23.4375
1788346581.2205832,22.8125,23.1875,23.125,23.3125,23.1875,23.0625,23.25,23.375
1788346582.2240138,22.875,23.1875,23.1875,23.3125,23.1875,23.125,23.3125,23.4375
1788346583.2281103,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.25,23.375
1788346584.2301888,22.875,23.1875,23.1875,23.375,23.1875,23.125,23.3125,23.375
1788346585.2308939,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346586.2316074,22.875,23.25,23.1875,23.375,23.1875,23.125,23.3125,23.375
1788346587.233052,22.875,23.25,23.1875,23.3125,23.1875,23.125,23.25,23.375
1788346588.2345312,22.875,23.25,23.1875,23.3125,23.125,23.125,23.25,23.4375
1788346589.237893,22.875,23.1875,23.1875,23.375,23.1875,23.0625,23.25,23.4375
1788346590.240659,22.8125,23.1875,23.125,23.375,23.1875,23.125,23.3125,23.4375
1788346591.243244,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346592.2460346,22.8125,23.1875,23.1875,23.375,23.1875,23.125,23.3125,23.375
1788346593.2484229,22.875,23.1875,23.125,23.375,23.1875,23.125,23.3125,23.4375
1788346594.2511747,22.875,23.1875,23.1875,23.375,23.1875,23.125,23.375,23.4375
1788346595.2522237,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.25,23.4375
1788346596.2525237,22.875,23.25,23.1875,23.4375,23.1875,23.125,23.3125,23.5
1788346597.253402,22.875,23.1875,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346598.2538242,22.875,23.1875,23.125,23.4375,23.1875,23.125,23.3125,23.4375
1788346599.254135,22.875,23.25,23.125,23.375,23.1875,23.125,23.3125,23.4375
1788346600.2554727,22.875,23.25,23.1875,23.4375,23.1875,23.125,23.3125,23.4375
1788346601.2572453,22.875,23.1875,23.1875,23.4375,23.1875,23.125,23.3125,23.4375
1788346602.2574682,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346603.2604222,22.9375,23.25,23.1875,23.375,23.125,23.125,23.3125,23.4375
1788346604.2633126,22.875,23.1875,23.125,23.375,23.1875,23.1875,23.3125,23.5
1788346605.2668967,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346606.2673583,22.9375,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346607.2695038,22.875,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346608.2710977,22.9375,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.4375
1788346609.271235,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346610.274526,22.875,23.3125,23.25,23.4375,23.1875,23.1875,23.3125,23.4375
1788346611.2763948,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346612.2796798,22.9375,23.3125,23.1875,23.4375,23.1875,23.125,23.3125,23.4375
1788346613.2827318,22.9375,23.25,23.125,23.4375,23.1875,23.1875,23.3125,23.4375
1788346614.2854571,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346615.288403,22.9375,23.3125,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346616.2887506,22.9375,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346617.2924843,22.875,23.3125,23.1875,23.4375,23.1875,23.25,23.3125,23.4375
1788346618.2954164,22.875,23.25,23.1875,23.4375,23.25,23.25,23.3125,23.5
1788346619.2984445,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346620.3020575,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346621.305486,22.9375,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.4375
1788346622.308326,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346623.3091462,22.9375,23.25,23.1875,23.4375,23.1875,23.25,23.3125,23.5
1788346624.311263,22.9375,23.25,23.1875,23.5,23.25,23.25,23.3125,23.5
1788346625.3126297,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346626.3135328,22.9375,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346627.3142648,22.875,23.3125,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346628.315276,22.875,23.25,23.1875,23.4375,23.1875,23.25,23.3125,23.5
1788346629.3175044,22.875,23.25,23.25,23.375,23.1875,23.25,23.3125,23.5
1788346630.319388,22.9375,23.25,23.1875,23.375,23.1875,23.1875,23.3125,23.5625
1788346631.3208277,22.875,23.25,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
1788346632.3226192,22.875,23.1875,23.1875,23.4375,23.1875,23.1875,23.3125,23.5
