now,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8
1788721009.3123913,21.5625,21.625,21.9375,21.875,21.8125,21.625,21.8125,21.8125
1788721010.3123922,21.625,21.6875,21.875,21.9375,21.8125,21.6875,21.875,21.8125
1788721011.3123932,21.625,21.6875,21.9375,21.875,21.8125,21.625,21.8125,21.8125
1788721012.3123941,21.625,21.625,21.875,21.9375,21.875,21.6875,21.875,21.8125
1788721013.3123944,21.625,21.6875,21.875,21.875,21.875,21.6875,21.875,21.8125
1788721014.3123946,21.625,21.625,21.9375,21.875,21.8125,21.6875,21.8125,21.8125
1788721015.312395,21.625,21.625,21.875,21.875,21.875,21.6875,21.875,21.8125
1788721016.3123956,21.625,21.625,21.9375,21.875,21.875,21.625,21.875,21.875
1788721017.312396,21.625,21.625,21.9375,21.9375,21.875,21.6875,21.875,21.8125
1788721018.312397,21.625,21.625,21.9375,21.9375,21.8125,21.6875,21.875,21.8125
1788721019.3123972,21.625,21.625,21.9375,21.875,21.8125,21.75,21.875,21.8125
1788721020.3123977,21.625,21.6875,21.9375,21.9375,21.875,21.6875,21.875,21.8125
1788721021.3123982,21.625,21.625,21.9375,21.875,21.875,21.6875,21.875,21.8125
1788721022.3123991,21.625,21.625,21.9375,21.875,21.875,21.6875,21.8125,21.8125
1788721023.3123999,21.625,21.625,21.9375,21.875,21.875,21.6875,21.875,21.8125
1788721024.3124006,21.625,21.625,21.9375,21.9375,21.8125,21.6875,21.875,21.8125
1788721025.312401,21.625,21.625,22.0,21.9375,21.875,21.6875,21.8125,21.8125
1788721026.312402,21.625,21.6875,22.0,21.9375,21.8125,21.6875,21.875,21.8125
1788721027.3124022,21.625,21.625,21.9375,21.875,21.875,21.6875,21.875,21.8125
1788721028.312403,21.625,21.625,21.875,21.875,21.875,21.6875,21.875,21.8125
1788721029.3124032,21.6875,21.625,21.9375,21.9375,21.875,21.6875,21.875,21.8125
1788721030.3124037,21.625,21.625,21.9375,21.875,21.875,21.75,21.875,21.8125
1788721031.312404,21.625,21.6875,22.0,21.875,21.875,21.6875,21.875,21.875
1788721032.3124044,21.625,21.625,21.9375,21.875,21.9375,21.625,21.875,21.875
1788721033.3124046,21.625,21.625,21.9375,21.875,21.875,21.6875,21.875,21.875
1788721034.312405,21.625,21.625,21.9375,21.9375,21.875,21.625,21.875,21.875
1788721035.3124058,21.625,21.625,21.9375,21.9375,21.875,21.6875,21.875,21.8125
1788721036.312406,21.625,21.6875,22.0,21.875,21.875,21.75,21.875,21.8125
1788721037.3124068,21.625,21.6875,21.9375,21.875,21.875,21.6875,21.875,21.8125
1788721038.3124077,21.6875,21.6875,21.9375,21.9375,21.875,21.6875,21.875,21.875
1788721039.3124087,21.625,21.625,21.9375,21.875,21.9375,21.6875,21.875,21.8125
1788721040.312409,21.6875,21.625,21.9375,21.9375,21.875,21.6875,21.8125,21.8125
1788721041.3124094,21.6875,21.625,22.0,21.875,21.875,21.6875,21.875,21.8125
1788721042.3124099,21.6875,21.6875,21.9375,21.9375,21.875,21.6875,21.875,21.8125
1788721043.3124104,21.6875,21.6875,21.9375,21.9375,21.875,21.6875,21.8125,21.75
1788721044.3124113,21.6875,21.6875,21.9375,21.9375,21.9375,21.6875,21.875,21.8125
1788721045.312412,21.6875,21.625,22.0,21.9375,21.875,21.6875,21.875,21.8125
1788721046.312413,21.6875,21.6875,21.9375,21.9375,21.9375,21.6875,21.8125,21.8125
1788721047.3124132,21.6875,21.6875,21.9375,21.9375,21.875,21.6875,21.8125,21.8125
1788721048.3124137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1788721049.3124142,21.6875,21.6875,22.0625,22.0,21.9375,21.75,21.875,21.8125
1788721050.3124144,21.625,21.6875,22.0,21.9375,21.875,21.6875,21.875,21.875
1788721051.3124154,21.625,21.6875,21.9375,21.875,21.875,21.6875,21.875,21.875
1788721052.3124158,21.6875,21.6875,22.0,21.9375,21.9375,21.6875,21.9375,21.875
1788721053.3124166,21.6875,21.6875,21.9375,21.9375,21.9375,21.6875,21.875,21.875
1788721054.3124173,21.6875,21.6875,22.0,21.9375,21.9375,21.6875,21.9375,21.875
1788721055.3124175,21.6875,21.6875,22.0,21.9375,21.9375,21.75,21.9375,21.875
1788721056.3124177,21.6875,21.6875,22.0,21.9375,21.9375,21.6875,21.875,21.875
1788721057.3124187,21.75,21.6875,22.0,21.9375,21.9375,21.75,21.875,21.8125
1788721058.3124192,21.6875,21.6875,22.0,22.0,21.9375,21.6875,21.9375,21.875
1788721059.31242,21.75,21.75,22.0,22.0,21.9375,21.75,21.875,21.875
1788721060.3124204,21.75,21.75,22.0,22.0,22.0,21.75,21.9375,21.875
1788721061.3124208,21.6875,21.75,22.0,21.9375,21.9375,21.75,21.875,21.875
1788721062.312421,21.6875,21.75,22.0,22.0,21.9375,21.75,21.9375,21.875
1788721063.3124218,21.6875,21.75,22.0,21.9375,22.0,21.75,21.9375,21.875
1788721064.3124223,21.75,21.75,22.0,21.9375,22.0,21.75,21.9375,21.9375
1788721065.3124225,21.75,21.75,22.0625,22.0,22.0,21.75,21.9375,21.875
1788721066.3124228,21.75,21.75,22.0625,22.0,22.0,21.75,21.9375,21.875
1788721067.3124237,21.75,21.75,22.0625,22.0,22.0,21.75,21.9375,21.875
1788721068.3124242,21.75,21.75,22.0625,22.0,22.0,21.75,22.0,21.875
