now,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8
1788793250.5374358,20.5625,20.9375,20.875,21.125,20.9375,20.9375,21.0625,21.3125
1788793251.5374365,20.5625,20.9375,20.8125,21.1875,20.9375,20.9375,21.0625,21.25
1788793252.537437,20.5625,20.9375,20.8125,21.1875,20.9375,20.9375,21.0625,21.3125
1788793253.5374372,20.5625,20.9375,20.875,21.125,20.9375,20.9375,21.0625,21.25
1788793254.5374382,20.5625,20.9375,20.8125,21.1875,20.9375,21.0,21.0625,21.25
1788793255.5374384,20.5625,20.9375,20.8125,21.125,21.0,21.0,21.125,21.3125
1788793256.5374386,20.5625,20.9375,20.875,21.1875,20.9375,20.9375,21.125,21.3125
1788793257.5374393,20.5,20.9375,20.8125,21.125,21.0,20.9375,21.125,21.3125
1788793258.5374396,20.5625,21.0,20.875,21.1875,20.9375,21.0,21.0625,21.3125
1788793259.5374398,20.5625,20.9375,20.875,21.1875,20.9375,21.0,21.125,21.3125
1788793260.53744,20.5625,20.9375,20.8125,21.1875,20.9375,21.0,21.125,21.3125
1788793261.5374403,20.5625,20.9375,20.8125,21.1875,21.0,21.0,21.125,21.3125
1788793262.5374413,20.5625,20.9375,20.8125,21.1875,20.9375,20.9375,21.0625,21.3125
1788793263.5374415,20.5625,20.9375,20.875,21.1875,20.9375,21.0,21.1875,21.3125
1788793264.5374424,20.5625,20.9375,20.875,21.125,20.9375,21.0,21.1875,21.375
1788793265.5374434,20.5625,21.0,20.875,21.1875,21.0,21.0,21.125,21.375
1788793266.5374444,20.5625,21.0,20.875,21.25,20.9375,21.0,21.125,21.375
1788793267.537445,20.5625,21.0,20.9375,21.1875,20.9375,21.0,21.1875,21.375
1788793268.5374458,20.5625,20.9375,20.875,21.1875,21.0,21.0,21.125,21.375
1788793269.5374463,20.5625,20.9375,20.875,21.1875,21.0,21.0,21.125,21.375
1788793270.5374467,20.5625,21.0,20.875,21.1875,21.0,21.0,21.1875,21.375
1788793271.5374475,20.5625,21.0,20.9375,21.1875,21.0,21.0,21.125,21.3125
1788793272.5374477,20.5625,21.0,20.875,21.1875,20.9375,21.0,21.1875,21.375
1788793273.5374484,20.5625,21.0,20.875,21.25,21.0,21.0,21.1875,21.3125
1788793274.5374491,20.5625,21.0,20.9375,21.25,20.9375,21.0,21.1875,21.3125
1788793275.5374496,20.625,21.0,20.9375,21.25,21.0,21.0,21.125,21.375
1788793276.5374503,20.625,21.0,20.875,21.1875,21.0,20.9375,21.1875,21.375
1788793277.5374506,20.625,21.0,20.9375,21.25,21.0,21.0,21.125,21.375
1788793278.5374513,20.625,21.0,20.9375,21.25,21.0,21.0,21.125,21.375
1788793279.537452,20.625,21.0625,20.875,21.1875,21.0,21.0,21.125,21.375
1788793280.5374525,20.625,21.0,20.875,21.25,21.0625,21.0625,21.1875,21.375
1788793281.5374527,20.5625,21.0625,20.9375,21.25,21.0,21.0,21.125,21.375
1788793282.5374532,20.625,21.0,20.9375,21.25,21.0625,21.0,21.125,21.375
1788793283.5374534,20.625,21.0625,20.875,21.25,21.0,21.0,21.125,21.375
1788793284.537454,20.625,21.0,20.9375,21.25,21.0,21.0,21.125,21.375
1788793285.5374546,20.625,21.0,20.9375,21.25,21.0,21.0,21.1875,21.375
1788793286.537455,20.625,21.0625,20.9375,21.25,21.0,21.0625,21.1875,21.375
1788793287.5374556,20.6875,21.0625,20.9375,21.25,21.0,21.0625,21.125,21.375
1788793288.5374565,20.6875,21.0625,20.9375,21.25,21.0,21.0,21.1875,21.375
1788793289.5374568,20.625,21.0625,20.9375,21.3125,21.0,21.0,21.1875,21.4375
1788793290.5374575,20.625,21.0625,20.9375,21.3125,21.0,21.0625,21.1875,21.375
1788793291.537458,20.625,21.0625,20.9375,21.25,21.0,21.0625,21.125,21.4375
1788793292.5374587,20.625,21.0625,20.9375,21.3125,21.0,21.0,21.125,21.375
1788793293.5374594,20.625,21.0625,20.9375,21.3125,21.0,21.0625,21.125,21.375
1788793294.5374599,20.6875,21.125,20.9375,21.25,21.0,21.0,21.1875,21.375
1788793295.53746,20.625,21.0625,20.875,21.25,21.0,21.0625,21.125,21.375
1788793296.5374603,20.625,21.125,20.9375,21.25,21.0625,21.0625,21.1875,21.375
1788793297.537461,20.625,21.0625,20.9375,21.3125,21.0,21.0625,21.1875,21.4375
1788793298.5374613,20.625,21.0625,20.9375,21.25,21.0625,21.0625,21.1875,21.4375
1788793299.5374618,20.625,21.0625,20.9375,21.25,21.0625,21.0625,21.1875,21.375
1788793300.5374625,20.6875,21.0625,20.9375,21.25,21.0625,21.0625,21.1875,21.375
1788793301.537463,20.625,21.0625,20.9375,21.25,21.0,21.0625,21.1875,21.4375
1788793302.5374632,20.625,21.0625,20.9375,21.25,21.0,21.0625,21.1875,21.375
1788793303.5374637,20.625,21.0625,20.9375,21.25,21.0625,21.0625,21.25,21.375
1788793304.5374641,20.6875,21.0625,20.9375,21.25,21.0,21.0,21.1875,21.375
1788793305.5374646,20.625,21.0625,20.875,21.3125,21.0,21.0,21.1875,21.375
1788793306.5374656,20.625,21.125,20.9375,21.25,21.0625,21.0625,21.1875,21.375
1788793307.5374658,20.625,21.0625,20.9375,21.25,21.0,21.0625,21.1875,21.4375
1788793308.5374668,20.6875,21.0625,20.9375,21.25,21.0625,21.0625,21.1875,21.4375
1788793309.5374675,20.6875,21.0625,20.9375,21.3125,21.0625,21.0625,21.1875,21.4375
1788793310.5374682,20.625,21.0625,21.0,21.3125,21.0,21.0,21.1875,21.375
1788793311.537469,20.6875,21.0625,20.9375,21.3125,21.0,21.0625,21.1875,21.375
1788793312.5374694,20.6875,21.125,20.9375,21.3125,21.0,21.0625,21.1875,21.375
1788793313.53747,20.6875,21.0625,20.9375,21.3125,21.0625,21.0625,21.1875,21.4375
1788793314.5374703,20.625,21.125,20.9375,21.3125,21.0,21.0625,21.1875,21.4375
1788793315.5374706,20.625,21.125,21.0,21.3125,21.0,21.0625,21.1875,21.4375
1788793316.5374713,20.625,21.125,20.9375,21.3125,21.0625,21.0625,21.1875,21.4375
1788793317.5374718,20.6875,21.125,20.9375,21.3125,21.0,21.0625,21.25,21.375
1788793318.537472,20.6875,21.125,20.9375,21.3125,21.0625,21.125,21.1875,21.375
1788793319.5374725,20.6875,21.125,20.9375,21.3125,21.0625,21.0625,21.1875,21.4375
1788793320.537473,20.6875,21.0625,20.9375,21.3125,21.0,21.0625,21.1875,21.375
1788793321.5388505,20.6875,21.125,21.0,21.3125,21.0625,21.0625,21.1875,21.4375
1788793322.5389132,20.625,21.125,20.9375,21.3125,21.0625,21.0625,21.25,21.4375
1788793323.538914,20.6875,21.0625,20.9375,21.3125,21.0625,21.125,21.1875,21.4375
1788793324.5389147,20.625,21.125,20.9375,21.3125,21.0625,21.0625,21.1875,21.375
1788793325.5391316,20.6875,21.125,20.9375,21.375,21.0625,21.0625,21.1875,21.4375
1788793326.5391326,20.625,21.125,20.9375,21.3125,21.0625,21.0625,21.1875,21.4375
1788793327.5391333,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.1875,21.4375
1788793328.5391343,20.6875,21.125,21.0,21.3125,21.0,21.0625,21.1875,21.375
1788793329.5391474,20.6875,21.125,20.9375,21.375,21.0625,21.0625,21.1875,21.4375
1788793330.539148,20.6875,21.1875,20.9375,21.375,21.0625,21.0625,21.1875,21.4375
1788793331.5391483,20.6875,21.125,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793332.5391486,20.75,21.125,20.9375,21.375,21.0625,21.0625,21.1875,21.4375
1788793333.5391493,20.6875,21.125,20.9375,21.375,21.0,21.0625,21.1875,21.5
1788793334.5391495,20.6875,21.125,20.9375,21.3125,21.0625,21.0625,21.25,21.4375
1788793335.5391498,20.6875,21.125,20.9375,21.3125,21.0625,21.125,21.1875,21.4375
1788793336.5391502,20.6875,21.125,21.0,21.3125,21.0625,21.125,21.125,21.4375
1788793337.5391507,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.5
1788793338.539151,20.6875,21.1875,20.9375,21.3125,21.0625,21.125,21.1875,21.5
1788793339.539152,20.6875,21.125,21.0,21.375,21.0625,21.125,21.1875,21.5
1788793340.5391524,20.6875,21.125,21.0,21.3125,21.0,21.125,21.1875,21.4375
1788793341.5409422,20.6875,21.125,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793342.5413172,20.75,21.1875,20.9375,21.375,21.0,21.0625,21.1875,21.4375
1788793343.544981,20.6875,21.1875,21.0,21.3125,21.0625,21.125,21.1875,21.375
1788793344.5456312,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793345.5469909,20.6875,21.125,20.9375,21.3125,21.0625,21.125,21.1875,21.4375
1788793346.5469916,20.75,21.125,21.0,21.3125,21.0625,21.125,21.1875,21.4375
1788793347.5503795,20.6875,21.1875,21.0,21.3125,21.0625,21.125,21.1875,21.5
1788793348.5503798,20.6875,21.125,21.0,21.375,21.0625,21.125,21.1875,21.5
1788793349.5530727,20.6875,21.125,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793350.5530734,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793351.553074,20.75,21.125,21.0,21.3125,21.0625,21.125,21.1875,21.4375
1788793352.5530744,20.6875,21.125,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793353.5588777,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793354.558878,20.6875,21.1875,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793355.5588787,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793356.5610597,20.6875,21.1875,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793357.5637517,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793358.5637522,20.6875,21.1875,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793359.5637531,20.75,21.125,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793360.5637538,20.6875,21.1875,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793361.5637546,20.6875,21.125,20.9375,21.3125,21.0625,21.125,21.1875,21.4375
1788793362.563755,20.6875,21.1875,20.9375,21.3125,21.0,21.125,21.125,21.4375
1788793363.5637553,20.75,21.1875,21.0,21.375,21.0625,21.125,21.1875,21.4375
1788793364.5637555,20.6875,21.1875,21.0,21.375,21.0625,21.125,21.1875,21.5
1788793365.563756,20.6875,21.1875,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793366.5637565,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793367.5637567,20.6875,21.1875,21.0,21.375,21.0625,21.125,21.125,21.4375
1788793368.5637572,20.6875,21.1875,21.0,21.375,21.0625,21.0625,21.1875,21.4375
1788793369.5637574,20.6875,21.1875,20.9375,21.375,21.0625,21.125,21.125,21.375
1788793370.5637584,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.1875,21.4375
1788793371.5637593,20.6875,21.1875,21.0,21.375,21.0,21.125,21.125,21.4375
1788793372.5637596,20.75,21.1875,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793373.56376,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793374.5637605,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.5
1788793375.5637612,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793376.5650165,20.6875,21.1875,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793377.5652716,20.75,21.25,21.0,21.375,21.0625,21.125,21.125,21.4375
1788793378.5653577,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793379.5653584,20.6875,21.1875,20.9375,21.375,21.0,21.1875,21.1875,21.4375
1788793380.5653589,20.6875,21.1875,21.0,21.375,21.0625,21.125,21.125,21.4375
1788793381.5653594,20.6875,21.1875,21.0,21.375,21.0,21.1875,21.125,21.4375
1788793382.568926,20.6875,21.1875,20.9375,21.3125,21.0625,21.1875,21.1875,21.4375
1788793383.5689263,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793384.5689268,20.6875,21.1875,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793385.5714948,20.6875,21.1875,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793386.571495,20.6875,21.125,21.0,21.375,21.0,21.125,21.125,21.4375
1788793387.5717185,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.375
1788793388.5717192,20.6875,21.1875,20.9375,21.375,21.0625,21.0625,21.125,21.4375
1788793389.5718825,20.6875,21.1875,21.0,21.3125,21.0,21.125,21.1875,21.4375
1788793390.5718832,20.6875,21.25,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793391.5718842,20.75,21.1875,21.0,21.375,21.0625,21.125,21.125,21.4375
1788793392.5720887,20.75,21.125,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793393.5720897,20.75,21.1875,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793394.57209,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793395.5725315,20.6875,21.125,21.0,21.375,21.0,21.125,21.125,21.4375
1788793396.5725322,20.6875,21.1875,20.9375,21.4375,21.0,21.125,21.125,21.5
1788793397.5725324,20.6875,21.125,21.0,21.375,21.0625,21.125,21.125,21.5
1788793398.5725331,20.75,21.1875,21.0,21.375,21.0,21.125,21.1875,21.375
1788793399.5725334,20.6875,21.1875,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793400.572534,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.125,21.5
1788793401.5725343,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.5
1788793402.5725348,20.625,21.1875,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793403.5725353,20.625,21.1875,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793404.5725355,20.6875,21.125,21.0,21.3125,21.0625,21.1875,21.125,21.4375
1788793405.5725362,20.6875,21.125,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793406.5725365,20.6875,21.125,21.0,21.375,21.0,21.125,21.125,21.5
1788793407.5725374,20.6875,21.1875,20.9375,21.375,21.0,21.125,21.125,21.5
1788793408.5725377,20.6875,21.125,21.0,21.375,21.0625,21.1875,21.125,21.4375
1788793409.572538,20.6875,21.125,21.0,21.3125,21.0,21.1875,21.1875,21.4375
1788793410.5725386,20.6875,21.125,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793411.5725393,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793412.5725398,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.125,21.4375
1788793413.57254,20.6875,21.125,20.9375,21.375,21.0,21.125,21.125,21.5
1788793414.572541,20.6875,21.1875,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793415.5725412,20.6875,21.125,21.0,21.3125,21.0625,21.125,21.125,21.4375
1788793416.5725422,20.6875,21.125,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793417.5725427,20.625,21.125,21.0,21.3125,21.0625,21.125,21.1875,21.4375
1788793418.5725434,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.125,21.4375
1788793419.572544,20.6875,21.1875,20.9375,21.375,21.0,21.1875,21.1875,21.4375
1788793420.5725446,20.6875,21.125,20.9375,21.375,21.0625,21.125,21.1875,21.4375
1788793421.5725453,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.125,21.4375
1788793422.572546,20.6875,21.125,20.9375,21.3125,21.0625,21.125,21.125,21.5
1788793423.5725467,20.625,21.125,20.9375,21.375,21.0,21.125,21.125,21.5
1788793424.572547,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.1875,21.4375
1788793425.5725477,20.6875,21.125,20.9375,21.375,21.0,21.125,21.1875,21.4375
1788793426.5725482,20.6875,21.125,21.0,21.375,21.0,21.125,21.1875,21.4375
1788793427.5725486,20.6875,21.125,20.9375,21.375,21.0,21.125,21.125,21.4375
1788793428.5725489,20.6875,21.125,21.0,21.3125,21.0,21.0625,21.125,21.4375
1788793429.5725493,20.6875,21.125,20.9375,21.3125,21.0,21.125,21.125,21.4375
1788793430.5734785,20.6875,21.1875,20.9375,21.375,21.0,21.0625,21.125,21.4375
