now,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8
1788721194.01927,21.5,22.0,21.8125,22.125,21.8125,21.875,21.9375,22.0
1788721195.0192704,21.5625,21.9375,21.75,22.125,21.8125,21.8125,21.9375,22.0625
1788721196.019271,21.5,21.9375,21.75,22.125,21.8125,21.875,21.875,22.0
1788721197.0192711,21.5,22.0,21.75,22.125,21.8125,21.8125,21.875,22.0
1788721198.0192719,21.5,22.0,21.75,22.125,21.8125,21.8125,21.9375,22.0625
1788721199.0192723,21.5,22.0,21.8125,22.125,21.8125,21.8125,21.875,22.0625
1788721200.0192733,21.5625,21.9375,21.75,22.125,21.8125,21.8125,21.9375,22.0
1788721201.0192738,21.5,22.0,21.8125,22.125,21.8125,21.8125,21.9375,22.0
1788721202.0192745,21.5,22.0,21.75,22.125,21.8125,21.8125,21.9375,22.0625
1788721203.0192752,21.5,21.9375,21.8125,22.125,21.75,21.875,21.875,22.0625
1788721204.019276,21.5,22.0,21.75,22.125,21.75,21.8125,21.875,22.0
1788721205.0192766,21.5,21.9375,21.8125,22.125,21.8125,21.8125,21.875,22.0625
1788721206.0192769,21.5,21.9375,21.75,22.0625,21.8125,21.8125,21.9375,21.9375
1788721207.0192776,21.5,22.0,21.75,22.125,21.75,21.8125,21.875,22.0625
1788721208.0192785,21.5,21.9375,21.75,22.125,21.8125,21.8125,21.875,22.0
1788721209.0192792,21.5,22.0,21.75,22.0625,21.8125,21.875,21.875,22.0
1788721210.0192797,21.5,21.9375,21.8125,22.0625,21.8125,21.8125,21.875,22.0
1788721211.01928,21.4375,21.9375,21.75,22.0625,21.75,21.8125,21.875,22.0
1788721212.0192807,21.5,21.9375,21.75,22.125,21.75,21.8125,21.875,22.0625
1788721213.0192811,21.4375,21.9375,21.75,22.125,21.8125,21.8125,21.875,22.0625
1788721214.0192816,21.4375,22.0,21.75,22.125,21.75,21.8125,21.875,22.0
1788721215.019282,21.5,21.9375,21.75,22.125,21.8125,21.8125,21.875,22.0
1788721216.0192823,21.5,21.9375,21.75,22.0625,21.75,21.8125,21.875,22.0
1788721217.0192828,21.4375,21.9375,21.8125,22.0625,21.8125,21.8125,21.875,22.0
1788721218.0192833,21.4375,21.9375,21.75,22.0625,21.8125,21.8125,21.8125,22.0
1788721219.019284,21.5,21.9375,21.6875,22.125,21.75,21.8125,21.875,22.0
1788721220.019285,21.4375,21.9375,21.75,22.0625,21.8125,21.8125,21.875,22.0625
1788721221.0192857,21.4375,21.9375,21.75,22.0625,21.75,21.8125,21.875,22.0625
1788721222.0192864,21.4375,21.9375,21.6875,22.0625,21.8125,21.75,21.875,22.0
1788721223.0192869,21.4375,21.875,21.75,22.0625,21.75,21.8125,21.8125,21.9375
1788721224.0192873,21.4375,21.9375,21.75,22.0625,21.75,21.875,21.875,22.0
1788721225.0192876,21.4375,21.9375,21.75,22.0625,21.75,21.8125,21.875,22.0
1788721226.019288,21.4375,21.9375,21.75,22.0625,21.8125,21.8125,21.875,22.0
1788721227.0192885,21.4375,21.875,21.6875,22.0625,21.75,21.8125,21.875,22.0
1788721228.0192888,21.4375,21.9375,21.6875,22.0625,21.75,21.8125,21.875,22.0
1788721229.019289,21.4375,21.9375,21.75,22.0625,21.8125,21.8125,21.875,22.0625
1788721230.0192895,21.5,21.9375,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721231.0192902,21.4375,21.9375,21.75,22.0625,21.75,21.8125,21.8125,22.0
1788721232.0192912,21.5,21.9375,21.75,22.0625,21.75,21.8125,21.8125,22.0
1788721233.0192916,21.4375,21.9375,21.6875,22.0625,21.75,21.8125,21.875,22.0
1788721234.0192919,21.4375,21.9375,21.75,22.0625,21.75,21.875,21.875,22.0
1788721235.019292,21.4375,21.9375,21.6875,22.0625,21.75,21.8125,21.8125,22.0625
1788721236.0192928,21.4375,21.9375,21.75,22.0,21.75,21.8125,21.8125,22.0
1788721237.0192935,21.4375,21.9375,21.75,22.0625,21.6875,21.8125,21.8125,22.0
1788721238.0192943,21.4375,21.9375,21.6875,22.0625,21.75,21.8125,21.875,22.0
1788721239.019295,21.4375,21.9375,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721240.0192955,21.4375,21.9375,21.6875,22.0625,21.75,21.8125,21.875,22.0
1788721241.0192964,21.4375,21.9375,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721242.0192966,21.4375,21.875,21.75,22.0625,21.6875,21.8125,21.8125,22.0
1788721243.019297,21.4375,21.9375,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721244.0192971,21.4375,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721245.0192976,21.4375,21.875,21.6875,22.0625,21.75,21.75,21.8125,22.0
1788721246.0192978,21.375,21.875,21.6875,22.0625,21.6875,21.75,21.8125,22.0
1788721247.0192986,21.4375,21.875,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721248.0192993,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721249.0193,21.4375,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721250.0193005,21.4375,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721251.019301,21.375,21.9375,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721252.0193017,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721253.019302,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721254.0193028,21.375,21.9375,21.6875,22.0625,21.75,21.8125,21.75,22.0
1788721255.0193033,21.4375,21.875,21.6875,22.0625,21.6875,21.75,21.8125,22.0
1788721256.019304,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.875,22.0
1788721257.0193045,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721258.019305,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721259.019306,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721260.0193067,21.375,21.875,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721261.0193071,21.4375,21.875,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721262.0193076,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721263.0193079,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0625
1788721264.0193083,21.375,21.875,21.75,22.0625,21.6875,21.8125,21.875,22.0
1788721265.0193086,21.4375,21.875,21.625,22.0625,21.75,21.8125,21.875,22.0
1788721266.019309,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721267.0193098,21.375,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721268.0193105,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0625
1788721269.019311,21.3125,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721270.0193114,21.375,21.9375,21.6875,22.0625,21.75,21.8125,21.8125,22.0
1788721271.019312,21.3125,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721272.0193129,21.4375,21.9375,21.6875,22.0625,21.6875,21.8125,21.875,22.0625
1788721273.0193133,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721274.0193136,21.375,21.9375,21.625,22.0625,21.6875,21.8125,21.8125,22.0
1788721275.019314,21.375,21.875,21.625,22.0625,21.6875,21.8125,21.8125,22.0
1788721276.0193145,21.375,21.875,21.6875,22.0625,21.6875,21.8125,21.75,22.0
1788721277.0193152,21.3125,21.875,21.625,22.0,21.6875,21.8125,21.8125,22.0625
1788721278.019316,21.3125,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721279.0193167,21.375,21.875,21.625,22.0625,21.6875,21.8125,21.8125,22.0
1788721280.019317,21.3125,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721281.0193172,21.375,21.8125,21.625,22.0625,21.6875,21.8125,21.8125,22.0
1788721282.0193174,21.3125,21.875,21.6875,22.0,21.6875,21.75,21.8125,22.0
1788721283.019318,21.375,21.875,21.625,22.0625,21.6875,21.75,21.8125,22.0
1788721284.0193186,21.375,21.875,21.6875,22.0,21.6875,21.8125,21.8125,22.0
1788721285.0193188,21.375,21.875,21.625,22.0625,21.6875,21.8125,21.8125,22.0
1788721286.0193193,21.375,21.875,21.625,22.0,21.6875,21.75,21.8125,22.0
1788721287.0193195,21.3125,21.875,21.6875,22.0625,21.6875,21.8125,21.8125,22.0
1788721288.0193202,21.3125,21.875,21.625,22.0,21.625,21.8125,21.75,22.0
